✅ Columna objetivo: 'decision'
📊 Distribución de clases:
decision
0    153932
1     46068
Name: count, dtype: int64
📝 Columnas categóricas encontradas: 4
   - country: {'Australia': np.int64(0), 'Brazil': np.int64(1), 'Canada': np.int64(2), 'China': np.int64(3), 'France': np.int64(4), 'Germany': np.int64(5), 'India': np.int64(6), 'Japan': np.int64(7), 'Singapore': np.int64(8), 'South Africa': np.int64(9), 'UAE': np.int64(10), 'UK': np.int64(11), 'USA': np.int64(12)}
   - city: {'Abu Dhabi': np.int64(0), 'Bangalore': np.int64(1), 'Beijing': np.int64(2), 'Berlin': np.int64(3), 'Birmingham': np.int64(4), 'Brisbane': np.int64(5), 'Cape Town': np.int64(6), 'Chennai': np.int64(7), 'Chicago': np.int64(8), 'Delhi': np.int64(9), 'Dubai': np.int64(10), 'Frankfurt': np.int64(11), 'Houston': np.int64(12), 'Hyderabad': np.int64(13), 'Johannesburg': np.int64(14), 'Kyoto': np.int64(15), 'Liverpool': np.int64(16), 'London': np.int64(17), 'Los Angeles': np.int64(18), 'Lyon': np.int64(19), 'Manchester': np.int64(20), 'Marseille': np.int64(21), 'Melbourne': np.int64(22), 'Montreal': np.int64(23), 'Mumbai': np.int64(24), 'Munich': np.int64(25), 'New York': np.int64(26), 'Osaka': np.int64(27), 'Paris': np.int64(28), 'Pune': np.int64(29), 'Rio de Janeiro': np.int64(30), 'San Francisco': np.int64(31), 'Shanghai': np.int64(32), 'Shenzhen': np.int64(33), 'Singapore': np.int64(34), 'Sydney': np.int64(35), 'São Paulo': np.int64(36), 'Tokyo': np.int64(37), 'Toronto': np.int64(38), 'Vancouver': np.int64(39)}
   - property_type: {'Apartment': np.int64(0), 'Farmhouse': np.int64(1), 'Independent House': np.int64(2), 'Studio': np.int64(3), 'Townhouse': np.int64(4), 'Villa': np.int64(5)}
   - furnishing_status: {'Fully-Furnished': np.int64(0), 'Semi-Furnished': np.int64(1), 'Unfurnished': np.int64(2)}
✅ Preprocesamiento completado. Features: 24

📊 División de datos:
   Entrenamiento: 139999 (70%)
   Validación: 20000 (10%)
   Prueba: 40001 (20%)
Epoch 1: train_loss=0.1409, val_loss=0.0248, train_acc=0.9411, val_acc=0.9963
Epoch 2: train_loss=0.0638, val_loss=0.0158, train_acc=0.9760, val_acc=0.9969
Epoch 3: train_loss=0.0551, val_loss=0.0114, train_acc=0.9800, val_acc=0.9978
Epoch 4: train_loss=0.0509, val_loss=0.0135, train_acc=0.9811, val_acc=0.9972
Epoch 5: train_loss=0.0473, val_loss=0.0116, train_acc=0.9821, val_acc=0.9980
Epoch 6: train_loss=0.0454, val_loss=0.0122, train_acc=0.9826, val_acc=0.9977
Epoch 7: train_loss=0.0421, val_loss=0.0119, train_acc=0.9844, val_acc=0.9968
Epoch 8: train_loss=0.0392, val_loss=0.0064, train_acc=0.9853, val_acc=0.9988
Epoch 9: train_loss=0.0346, val_loss=0.0067, train_acc=0.9875, val_acc=0.9980
Epoch 10: train_loss=0.0328, val_loss=0.0079, train_acc=0.9883, val_acc=0.9974
Epoch 11: train_loss=0.0325, val_loss=0.0085, train_acc=0.9882, val_acc=0.9970
Epoch 12: train_loss=0.0295, val_loss=0.0075, train_acc=0.9894, val_acc=0.9982
Epoch 13: train_loss=0.0291, val_loss=0.0067, train_acc=0.9897, val_acc=0.9975
Epoch 14: train_loss=0.0293, val_loss=0.0088, train_acc=0.9894, val_acc=0.9979
Epoch 15: train_loss=0.0275, val_loss=0.0068, train_acc=0.9907, val_acc=0.9976
Epoch 16: train_loss=0.0265, val_loss=0.0060, train_acc=0.9904, val_acc=0.9980
Epoch 17: train_loss=0.0252, val_loss=0.0081, train_acc=0.9910, val_acc=0.9971
Epoch 18: train_loss=0.0242, val_loss=0.0075, train_acc=0.9915, val_acc=0.9984
Epoch 19: train_loss=0.0249, val_loss=0.0070, train_acc=0.9913, val_acc=0.9972
Epoch 20: train_loss=0.0233, val_loss=0.0065, train_acc=0.9916, val_acc=0.9980
Epoch 21: train_loss=0.0234, val_loss=0.0054, train_acc=0.9916, val_acc=0.9990
Epoch 22: train_loss=0.0227, val_loss=0.0054, train_acc=0.9919, val_acc=0.9981
Epoch 23: train_loss=0.0233, val_loss=0.0067, train_acc=0.9917, val_acc=0.9978
Epoch 24: train_loss=0.0213, val_loss=0.0063, train_acc=0.9928, val_acc=0.9981
